Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10872085,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,"Archer, Jeffrey",,"=""031253955X""","=""9780312539559""",4,4.10,St. Martin's Press,Hardcover,400,2011,2011,,2018/11/04,,,read,,,,1,0
78983,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,"Archer, Jeffrey",,"=""0312995059""","=""9780312995058""",5,4.34,St. Martin's Paperbacks,Paperback,592,2004,1979,,2018/11/04,,,read,,,,1,0
6581449,"Freefall: America, Free Markets, and the Sinking of the World Economy",Joseph E. Stiglitz,"Stiglitz, Joseph E.",,"=""0393075966""","=""9780393075960""",4,3.88,W. W. Norton & Company,Hardcover,361,2010,2010,,2018/11/04,,,read,,,,1,0
7090,The Soul of a New Machine,Tracy Kidder,"Kidder, Tracy",,"=""0316491977""","=""9780316491976""",4,4.12,Back Bay Books,Paperback,293,2000,1981,,2018/11/04,,,read,,,,1,0
30474,The Communist Manifesto,Karl Marx,"Marx, Karl","Friedrich Engels, Leon Trotsky, Samuel Moore, Erkin Özalp, Amanda Lee, Antonio Carlos Braga, Aldrin Alexander Evies, Oqtay Eloğlu","=""0140447571""","=""9780140447576""",5,3.66,Penguin Books,Paperback,288,2002,1848,,2018/11/04,,,read,,,,1,0
7478167,Robinson Kruso,Daniel Defoe,"Defoe, Daniel","G.A. Gr, Hanne Leth","=""""","=""""",0,3.68,"E. Jespersen, Hoffensberg & Traps etabl.",Nook,352,,1719,,2018/11/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2018/10/19,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.80,Back Bay Books,Paperback,277,2001,1951,,2018/10/19,,,read,,,,1,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",4,3.86,Oxford University Press,Hardcover,352,2014,2014,,2018/10/19,,,read,,,,1,0
8913542,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,"Chang, Ha-Joon",,"=""1608191664""","=""9781608191666""",4,3.96,Bloomsbury Press,Hardcover,286,2011,2010,,2018/10/18,,,read,,,,1,0
